id.deidentified,age,gender,race,race_TEXT,class,wc1,wc1use,wc1aware,wc1open,wc2,wc2use,wc2aware,wc2open,wc3,wc3use,wc3aware,wc3open,wc4,wc4use,wc4aware,wc4open,fd1,fd1use,fd1aware,fd1open,fd2,fd2use,fd2aware,fd2open,fd3,fd3use,fd3aware,fd3open,fd4,fd4use,fd4aware,fd4open,sesdiverse_4,sesdiverse_5,sescommi1,sescommi2,psc1r,psc2r,psc3,psc4r,psc5r,psc6,background,belong1,beluncert1,beluncert3,cgpa,income,ladder.r
13,20,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,Lots of options,1,4,3,Backed up by other important institutions ,1,4,2,Values economic diversity,1,3,2,Same as above,10,90,5,3,3,6,2,2,1,5,2,6,6,6,3.7,9,3
14,21,2,3,,2,1,2,2,These facts make me think of the size of the school and the choices i have in deciding what to study.,1,3,3,The prestige of the  university comes to mind.,1,2,1,"As a student who depends solely on financial aid, this first puts into perspective where i fall compared to the rest of the student body. It also makes me aware that the majority of my classmates are coming from wealthy families.",1,2,2,This  gives me the impression that people associated with the university plat a role in keeping things afloat.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,10,90,5,5,7,7,1,7,7,1,7,1,1,4,2.1,2,9
15,19,1,2,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,1,Diverse students and a ton of classes,1,2,3,Northwestern is a very academic focused place,1,3,2,Northwestern is skewed with largely wealthy students,1,3,2,Northwestern wants to help students,10,90,2,6,4,5,2,7,5,3,4,6,6,6,2.77,4,5
16,21,1,7,,3,1,2,2,Diverse in its offerings.,1,2,3,Prestigious.,1,1,1,Rich.,1,2,2,Privileged.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,3,3,4,5,3,5,4,5,5,5,5,3,3.45,5,4
17,21,2,3,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,Very diverse academically,1,2,3,Great school,1,3,3,Helpful,1,3,3,Aware,20,80,1,1,3,6,1,6,6,2,1,5,6,6,2.87,3,3
18,22,2,7,,4,1,3,1,Diverse,1,4,3,prestigious,1,3,2,Wealthy,1,3,2,Rich,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,4,5,7,7,3,7,7,4,5,6,3,4,3.72,5,6
19,21,2,7,,4,1,3,2,It's very academically focuesed,1,2,3,It's high quality,1,1,3,It doesn't make sense. Lots of rich people go here. Probably snobby/entitled,1,2,2,They have lots of money to spend,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,2,2,2,2,6,3,2,6,2,6,5,2,3.6,5,3
20,20,2,8,"White, Latina",2,1,2,1,You have a lot of educational oppotunities,1,3,3,Competitive,1,1,2,Many students are well off,1,1,2,Alumni get good jobs and score high salary jobs,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,10,90,3,5,5,4,5,5,2,5,2,5,5,5,3.42,3,5
21,20,1,7,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It provides many opportunities for learning in different subjects.,1,4,3,It is a competitive yet successful environment.,1,3,2,"Northwestern is willing to bring in the best students, usually regardless of their financial situations.",1,3,2,Northwestern is committed to getting experience for its students.,20,80,5,5,4,4,4,5,4,4,3,4,6,5,3.7,5,4
22,21,2,2,,4,1,2,1,It's opportunistic and has many resources that can allow students to succeed. ,1,4,3,the environment is full of successful and highly motivated students. makes me think of a competitive atmosphere. ,1,2,2,it's an expensive sschool ,1,4,1,It's a rich school that gets a lot of money. it would be more useful to see where exactly the money is going and how else its being used because it doesn't feel like I'm getting much financial aid. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,10,90,2,5,7,6,1,7,7,2,6,4,5,6,3.46,5,5
23,19,2,7,,2,1,2,2,That it's somewhat overwhelming but offers a lot of choice.,1,2,3,That is has a good reputation and that it values having a good reputation.,1,2,2,"That Northwestern families are rich. This should be advertising NU's generous financial aid, not celebrating those who don't need it.",1,1,2,It makes me think of NU as a corporation rather than an institution with higher education as its main goal.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,3,3,2,2,6,3,2,5,2,5,6,6,3.79,7,3
24,19,1,7,,2,1,3,2,Opportunistic and wide-ranging,1,3,3,Prestige,1,4,3,"Not true, but hopeful",1,1,2,Rich,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,2,6,4,3,2,6,5,5,2,6,5,6,3.3,7,5
25,20,2,7,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,"There are a lot of options, but does not necessitate that these options will fit my educational goals. ",1,3,3,Very prestigious - makes you want to come here ,1,2,3,They want to help students attend the school ,1,2,2,NU wants Students to be actively working for their education with financial contributions ,30,70,5,2,3,2,5,5,1,5,2,6,6,1,3.6,5,4
26,18,1,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,"It makes it seem as if Northwestern is a much bigger, and more faceless, university than it actually is.",1,4,3,It makes me think that Northwestern is a prestigious university that offers a top-notch education.,1,4,2,That it's an accepting environment in every way.,1,2,1,It makes me think that Northwestern puts a big emphasis on supporting students' research interests.,50,50,6,5,4,4,6,3,3,6,1,7,4,5,3.9,7,4
27,19,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,1,There are opportunities for people with a diverse range of academic interests.,1,4,3,Northwestern is an elite university that provides an excellent education.,1,3,2,NU has a lot of money.,1,3,2,Northwestern tries to help students afford the costs of their education,15,85,5,6,2,2,5,4,3,6,2,7,2,2,3.9,8,4
28,19,2,2,,2,1,1,2,,1,1,2,,1,1,1,,1,1,1,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,4,4,2,4,4,4,4,4,4,4,6,3,3.9,9,3
29,20,2,7,,2,1,3,2,There are a lot of different options for broadening my education.,1,3,3,It has high standards for its students success.,1,4,1,I am surprised by the majority of people not needing financial aid because the price of education is extremely high in my opinion.,1,4,1,It's great that parents are so invested in their children's education and are willing to invest more money besides tuition.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,5,7,2,4,5,5,3,6,1,7,2,2,3.375,7,3
30,20,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,"People have a diversity of interests and are able to pursue more than one of them at a time. Classes may be more likely to focus on interesting niche subjects rather than just generic topics. There should be a program available for everyone, even if it's not easy to find right away. ",1,4,3,Highlights the prestige of Northwestern. It makes me think about the fact that having a degree from Northwestern on my r̬sum̬ might make it easier for me to get a job. My learning and experiences here are recognized to have some value in the real world. ,1,2,2,"That they value economic diversity. I would be more interested to hear more about socio-economic diversity, because if all the money is going to suburban white people of different financial classes, I will not actually be exposed to a very diverse group of peers. It would be nice to know that there would be help available to subsidize the very expensive tuition, though. ",1,2,2,Has little info on how that would directly affect a student like me. Work-study is also tough because it puts even more pressure on students who are already stressed with school by sucking up their time in pointless jobs. ,35,65,2,3,1,2,7,3,2,5,1,3,6,6,3.3,6,4
31,21,2,7,,4,1,2,2,huge // many opportunities,1,4,3,high quality // well-known // prestigious ,1,3,3,"expensive // ritsy, well-off people attend (the fact that half of families don't even need aid)",1,4,3,helpful // inclusive // generous,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,2,3,5,6,2,7,6,3,5,3,6,5,3.65,1,7
32,19,2,2,,1,1,3,1,varied,1,3,3,competitive,1,2,1,privileged ,1,3,2,wealthy,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,5,4,5,5,3,5,5,3,2,5,6,5,4.78,4,6
33,20,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,The Northwestern environment is diverse and has a range of opportunity.,1,1,3,"It's prestigious, but it doesn't tell me anything about the school itself.",1,1,2,"It's trying to make us sound diverse, but it says nothing about the amount of aid or how it is allotted.",1,1,1,"Again, trying to make Northwestern sound economically diverse, but it's very forced.",5,95,3,2,3,2,6,2,2,5,2,5,5,5,3.5,8,2
34,19,2,7,,1,1,2,2,There are many areas to study.,1,3,3,The Northwestern environment is rigorous.,1,2,3,Northwestern has many wealthy students who can afford tuition.,1,2,3,Alumni liked Northwestern enough to donate large sums of money. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,4,5,2,3,5,2,3,6,2,6,5,6,3.77,9,4
35,21,2,7,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Variety of interests and academic pursuits,1,2,2,It cares about its prestige which can be a source of pride by also negative connotation of hubris,1,3,3,Northwester tries to make itself accessible to all SES potential students,1,3,3,"Northwestern is aware that some students need to work to get by, and they want to help and promote that duel interest",60,40,5,6,3,5,4,4,4,5,3,5,5,3,3.42,1,4
36,18,2,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It makes me think Northwestern is full of diverse individuals with varied interests and a faculty invested in helping students pursue what they want to study.,1,3,3,"This makes me think that Northwestern is a top-tier school that challenges students and holds them to high standards. It makes me think Northwestern is thriving with knowledge, with innovators.",1,2,1,This makes me think that Northwestern's environment is very supportive and generous and that the school would be very willing to go out of its way to provide aid to students in need.,1,2,1,"Again, this makes me think Northwestern's environment is very supportive and generous. It's good at allocating money to those in need, which is admirable.",40,60,6,3,3,2,5,4,4,5,3,5,6,5,3.93,6,2
37,19,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,Open ,1,4,3,Impressive,1,2,2,"Has a large resource pool, diverse",1,3,1,Committed to students' success and well-being,50,50,5,5,3,2,5,2,5,5,2,6,5,6,3.43,9,2
38,22,2,8,white and hispanic,4,1,1,2,it is big ,1,3,2,its a good school ,1,1,3,its too expensive,1,2,1,it has supporters,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,1,3,5,6,1,7,5,2,5,3,5,5,3.6,3,5
39,18,2,4,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It makes me think that there are a lot options to expand ones knowledge in various subjects.,1,3,2,That it's very prestigious.,1,4,3,That they care about your education and will help you to pay for a good education.,1,4,3,That money should not be a worry in getting your education at northwetern.,25,75,3,6,6,6,2,7,6,2,3,4,5,4,3.5,3,4
40,20,2,2,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,,1,2,3,,1,2,3,,1,3,3,,30,70,3,3,2,3,3,6,6,3,2,5,7,5,2.1,5,6
41,18,2,7,,1,1,2,2,There are many and diverse academic interests and opportunities.  Probably small classes.,1,3,3,"It is academically rigorous and rich, and also prestigious and the students may recognize that.",1,2,3,"Over half of the students come from wealthy families.  There's a range in socioeconomic background, but it's skewed toward the rich.  ",1,3,1,"Northwestern is a giving community and alumni feel connected even after leaving, and want to give back.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,3,6,5,5,5,6,2,5,3,5,5,6,3.92,5,5
42,21,2,3,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,It emphasizes the diversity of the Northwestern community and the wealth of opportunity available to students.,1,4,3,It makes me think highly of the academic programs.,1,4,3,It makes me think the university is dedicated to providing people from lower-income families an opportunity to attend.,1,4,3,It makes me think the university is dedicated to helping students who need to work in order to support themselves.,10,90,6,5,6,6,3,7,5,2,5,5,7,7,3.915,4,7
43,19,2,3,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Its very diverse and big.,1,3,3,Competitive and devoted to teaching a high education.,1,4,3,A welcoming place to all regardless of social economic status.,1,4,3,A place aware of all the needs of their students and is willing to help alleviate issues relating to lack of money.,30,70,7,7,7,5,3,5,5,5,2,1,4,2,3.7,3,5
44,21,2,2,,4,1,2,2,Oh wow there is a lot happening on this campus. Busy students. ,1,3,2,,1,1,NA,Just how rich are these families who are paying without financial aid? ,1,1,1,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,2,3,2,2,5,5,2,5,3,5,7,5,3,6,3
45,19,2,8,Hawaiian,2,1,4,1,Something for everyone!,1,2,2,One can obtain a quality education @ NU because the environment @ NU is conducive to receiving a quality higher education.,1,2,1,"I couldn't have attended without financial aid.  This university is mainly for kids from wealthy families, those who can afford a university education without financial aid -- out of reach for most college-aged kids. That's NU's target audience, it seems.",1,2,1,"Parents should expect to be hit up for donations throughout their children's university years @ NU, as a big endowment seems to be a point of pride @NU.  I.would not be impressed unless that endowment is used to recruit deserving, qualified prospective students who otherwise wouldn't be able to attend NU.  Seems rather an elitist attitude in the proffered statements.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,5,95,1,1,6,7,1,7,7,1,5,4,5,5,3,4,9
46,22,2,2,,4,1,1,1,"Busy, a lot of opportunities. But no info about student life & quality",1,3,2,Snobby,1,3,3,Private school,1,2,3,"Money that they use on buildings, not for providing proper education for the students. IT'S ALL A FACADE",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,3,3,3,2,4,5,2,4,3,6,1,1,3.78,5,5
47,21,2,8,black & white,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,full of resources + opportunities but this statement doesn't really set it apart from other similar schools,1,3,3,that it is an attractive place to be ,1,4,2,Diverse; resource-friendly/heavy,1,3,3,Doesn't set NU apart from other similar schools,20,80,1,1,7,5,1,7,6,2,2,4,7,7,3.3,4,7
48,21,2,3,,3,1,4,2,Academically diverse,1,4,3,academically exceptional ,1,2,1,Elite,1,3,1,helpful,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,3,3,3,4,3,5,6,3,2,4,7,1,3.2,3,6
49,19,1,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Very diverse and has a lot of offerings. ,1,3,3,"It is an environment which fosters high level thinking. In addition, the quality of the programs are excellent and are superior to other colleges in the nation. ",1,3,2,"Northwestern wants to make sure all people have the opportunity to succeed, and therefore gives out money to those who need it. ",1,3,2,"Again, committed to making sure students here excel both academically and financially. The university will institute programs to ensure that students have access to the resources they need. ",25,75,5,7,2,3,6,3,2,6,2,6,2,2,3.99,5,4
50,18,1,2,,1,1,3,2,Very large with lots of variety,1,4,3,It's a top-tier college that is highly prestigious,1,3,3,Northwestern has a varied diverse group of people,1,3,2,Northwestern alumni truly care about the school.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,50,50,5,6,5,5,3,3,3,3,5,6,4,6,3.8,4,4
51,20,2,2,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,There are a lot of opportunities. ,1,3,2,Northwestern is a great institution that is very highly valued.,1,3,2,"It is generous and a large part of the student body is not necessarily from the ""rich"" background most people associate with Northwestern.",1,3,1,Very giving,20,80,5,5,6,6,2,6,6,3,4,6,6,6,3.55,1,4
52,18,1,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,It has a lot of variety,1,3,3,We're great,1,4,3,We can afford this school,1,3,2,Northwestern will use you,60,40,5,3,4,5,5,4,3,5,3,5,5,5,3.55,5,4
53,21,1,7,,4,1,2,2,"There are a wide range of academic interests present on this campus, which promotes academic diversity amongst the student body. ",1,3,3,"Northwestern has high standards, which leads to incredible research and high-quality education. Yet, these high standards also cause stress and competition.",1,3,3,"Despite the generosity of financial aid, the perceived and real high costs of Northwestern serve as a barrier for some low-income students. At times, the difference in financial aid of students has caused tensions between students who do and do not receive it.",1,3,2,"Students are offered a high-quality experience beyond what they experience in the classroom. This explains why parents want to support the Parents' Fund, which supports a great deal of out-of-classroom experiences. ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,14,86,4,4,7,7,2,7,7,5,4,6,7,7,3.91,5,5
54,21,2,8,white/latina,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,Overwhelming and braggish,1,2,2,Great for them?,1,4,3,"It's a place that I can afford to go to, which means all the world to me and my family",1,3,2,Similar to the prior statement; grateful for NU's generosity,20,80,3,5,6,5,3,6,5,3,4,3,5,6,3.1,3,6
55,18,2,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,"That it is a typical university, and that this information doesn't give me much about them. ",1,4,3,That it will be more difficult to succeed. ,1,2,2,"That it is dishonest about the amount of aid, or tries to scew the numbers. ",1,4,2,That kids are involved in a variety of things. ,30,70,7,7,7,5,5,3,5,5,2,4,5,5,2.7,5,4
56,22,2,4,,4,1,3,2,Diverse environment where classes can be tailored to the individual experience.,1,2,3,High-stakes environment with quality academics.,1,2,2,Expensive.,1,2,2,It makes me assume that the money is being put to visible use (which doesn't always seem like the case).,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,3,5,5,3,4,5,2,4,3,5,7,6,3.087,5,7
57,19,2,3,,2,1,3,2,It's a very diverse environment and almost everyone will find something that they like or that interests them .,1,4,3,NU is hardworking environment with many gifted and intelligent students. ,1,2,3,That NU is an expensive school and that most of the student population is from an upper middle class background.,1,3,1,Alumni and parents like the university enough to give financial support. Also they're in the position to give a lot of money meaning that NU has provided alumni with degrees that afforded them nice paying jobs. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,5,6,7,6,2,7,6,4,2,6,2,4,3.5,3,4
58,19,2,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,it's academic,1,4,3,it's elitist,1,3,3,this is false advertising. they don't give good aid at all. ,1,3,2,also false advertising. they make you think it's easy to get work study but it's not. ,30,70,1,1,7,7,1,7,7,2,7,5,7,7,3.75,6,8
59,19,2,7,,2,1,3,2,It's a wealth of opportunity.,1,3,3,It is well-respected.,1,3,2,It attracts students of well-off families.,1,2,1,It attracts students of well-off families.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,3,5,3,2,6,3,2,6,2,6,2,2,3.648,7,3
60,20,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,1,"The numbers don't really give a good sense of ""ballpark""...I'm not quite sure what to make of it. Is this more than other schools? Less? 4000 seems like a LOT of classes though, so that's good because I looked for variety and uniqueness in my classes. ",1,4,3,We're global and RELEVANT! Not just some school people know in the Midwest.,1,3,2,Generous,1,2,2,Generous,40,60,6,5,2,1,2,6,4,5,4,6,5,2,3.58,NA,3
61,20,1,3,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Wow! There's a lot of people of different types here if there's a need for EIGHTY majors.,1,2,1,"Nothing much yet. There needs to be way more specific information about the U.S. News & World Report, such as where specifically the University ranks and the colleges surrounding them in the rankings.",1,4,3,They have money and are willing to use it to help its students.,1,3,3,"Once again, Northwestern is able to help its students financially.",23,77,4,3,4,5,1,6,5,2,2,6,4,1,3.2,4,8
62,20,2,4,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,A little bit overwhelming ,1,4,3,Academically prestigious ,1,4,2,They will help you pay for it if you need it,1,4,2,Students have the opportunity to make money to help pay for college. ,30,70,3,5,4,2,5,4,2,6,2,4,6,6,3.3,6,5
63,19,1,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,Many opportunities,1,2,3,It's probably rigorous,1,2,3,Students come from a variety of backgrounds,1,2,2,They have work study,15,85,5,5,1,2,7,2,2,7,1,6,5,2,3.49,9,2
64,21,2,8,White and Asian,3,1,3,1,The environment is filled with people with diverse interests ,1,4,2,Northwestern is academically challenging and has a positive reputation for being a strong university,1,2,1,Northwestern is very expensive and tries to seem like they are not nearly as expense as they are. Northwestern does not provide sufficient financial aid,1,1,1,Northwestern gives rise to rich alumni and is very concerned with it's economic appearance.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,1,1,5,5,5,6,1,6,2,5,7,6,3.85,7,4
65,23,2,7,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,,1,3,2,,1,3,2,,1,2,1,,60,40,6,6,6,6,6,6,6,6,6,6,6,6,3.2,3,4
66,20,2,3,,3,1,1,2,It doesn't make me feel anything because there is a limited range of majors. ,1,2,3,The environment is rigorous.,1,1,3,The environment is full of well-off people.,1,1,2,The parents are very generous.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,14,86,1,3,7,3,5,6,2,5,2,5,7,7,2.99,8,4
67,19,1,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,1,It has a wide range of opportunities.,1,4,3,It is prestigious and a good place to get an education.,1,3,1,I can afford Northwestern.,1,2,1,Northwestern is dedicated to Work-Study,20,80,4,6,5,5,3,6,3,5,4,6,3,6,3.6,5,4
68,18,2,7,,1,1,3,1,It has a lot of varied opportunities,1,2,3,Like it's competitive,1,2,3,It's not very diverse,1,2,2,There are a lot of very wealthy students here,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,6,6,2,2,5,2,2,5,4,5,7,6,3.73,8,2
69,20,2,7,,2,1,3,2,Gives students many opportunities to be happy ,1,4,3,Northwestern is one of the world's best schools,1,3,3,Northwestern is expensive ,1,3,2,Alumni love NU ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,28,72,6,5,3,5,6,2,2,6,2,7,3,2,3.775,7,3
70,19,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Diverse,1,3,3,High level,1,3,3,Wealthy ,1,3,2,Wealthy ,15,85,6,2,2,3,5,6,3,5,2,6,5,5,3.88,5,3
71,21,2,2,,4,1,2,3,lots of opportunities,1,4,3,NU is good in comparison to other schools. I'll be successful if I go here.,1,2,2,Accepting,1,2,2,wealthy alumni,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,6,5,2,2,6,2,1,6,1,6,6,6,3.71,9,3
